department_id,department_name,department_code,current_occupancy,max_capacity,num_staff,working_hours,emergency_support,doctor_id
83810,Laboratory,DEP-Vr10,28,62,95,8 AM - 5 PM,yes,83810
32098,Orthopedics,DEP-Vg32,188,102,87,11 AM - 8 PM,yes,97080
88696,ICU,DEP-LB81,108,66,4,6 AM - 5 PM,yes,30495
4165,Emergency,DEP-no01,154,63,72,7 AM - 9 PM,no,28893
66237,Pediatrics,DEP-Jm90,114,351,36,12 AM - 10 PM,yes,44597
93850,Orthopedics,DEP-oC86,178,266,44,8 AM - 5 PM,yes,45082
77236,Surgery,DEP-WZ40,26,97,49,6 AM - 6 PM,no,72357
20926,ICU,DEP-rj65,67,463,6,11 AM - 7 PM,yes,29871
28221,Dermatology,DEP-fy51,20,332,38,12 AM - 9 PM,no,83320
12676,ICU,DEP-Mq55,49,410,9,6 AM - 9 PM,yes,83227
5695,Radiology,DEP-hy78,20,487,30,12 AM - 4 PM,no,90198
10328,Radiology,DEP-ON84,116,375,47,7 AM - 6 PM,no,52581
47400,Pediatrics,DEP-Te93,171,186,90,11 AM - 9 PM,yes,60142
6006,ICU,DEP-fo34,162,137,69,11 AM - 5 PM,yes,47447
13238,Oncology,DEP-DO64,97,188,82,11 AM - 8 PM,yes,20033
47819,Laboratory,DEP-wn25,83,481,99,12 AM - 4 PM,yes,78104
87841,Cardiology,DEP-MO41,80,255,35,6 AM - 5 PM,no,98419
22431,Pediatrics,DEP-kD83,167,305,51,11 AM - 7 PM,yes,94646
49735,Radiology,DEP-oR48,35,176,96,10 AM - 8 PM,no,39117
42504,Pharmacy,DEP-cZ03,149,269,75,9 AM - 6 PM,yes,69514
41347,Orthopedics,DEP-en64,130,302,12,12 AM - 4 PM,yes,31385
74341,Orthopedics,DEP-PF53,160,131,88,9 AM - 8 PM,yes,99693
51856,Dermatology,DEP-qi72,97,355,60,10 AM - 6 PM,yes,69163
32325,Laboratory,DEP-qV88,184,108,88,10 AM - 10 PM,no,26365
76622,Laboratory,DEP-zx69,87,107,38,9 AM - 5 PM,no,32493
28746,Cardiology,DEP-Ff28,184,498,93,8 AM - 8 PM,yes,82719
99061,Emergency,DEP-jO01,27,495,81,8 AM - 10 PM,yes,36500
20969,Orthopedics,DEP-ey69,95,440,21,10 AM - 10 PM,yes,61953
50019,ICU,DEP-Hq97,82,300,3,6 AM - 6 PM,no,56498
72512,Pediatrics,DEP-RI01,14,173,73,6 AM - 4 PM,no,7944
98419,Neurology,DEP-hs45,194,322,99,7 AM - 5 PM,no,18373
56985,Emergency,DEP-aU27,42,185,68,12 AM - 8 PM,no,12833
94329,Pediatrics,DEP-Wl48,138,436,94,11 AM - 5 PM,no,21798
66542,Dermatology,DEP-OG14,171,382,48,9 AM - 8 PM,no,282
79818,Neurology,DEP-xW32,63,165,9,8 AM - 4 PM,yes,72845
21174,ICU,DEP-aM88,56,53,10,11 AM - 9 PM,yes,96434
42487,Pediatrics,DEP-hx70,17,66,43,6 AM - 8 PM,yes,20635
40306,Radiology,DEP-pK30,171,298,28,10 AM - 5 PM,no,52923
10322,Pediatrics,DEP-eW17,200,292,53,7 AM - 4 PM,yes,54948
69822,Laboratory,DEP-QE22,110,231,55,9 AM - 7 PM,yes,34814
72063,Laboratory,DEP-HM24,167,380,13,6 AM - 7 PM,no,81416
55461,Neurology,DEP-WU38,63,148,25,10 AM - 7 PM,yes,45745
90422,Dermatology,DEP-zQ34,46,192,60,7 AM - 10 PM,yes,39651
85180,Oncology,DEP-HC57,140,100,7,11 AM - 8 PM,yes,13577
15860,Neurology,DEP-ev33,192,484,31,7 AM - 7 PM,no,35697
2757,Oncology,DEP-oL98,54,492,52,6 AM - 5 PM,no,32914
28864,Cardiology,DEP-TO01,99,185,59,8 AM - 7 PM,no,464
7716,Orthopedics,DEP-cv31,48,201,28,6 AM - 8 PM,yes,56057
9287,Pharmacy,DEP-rQ83,80,79,7,10 AM - 7 PM,yes,72420
63624,Cardiology,DEP-iU38,130,91,24,6 AM - 8 PM,yes,89399
74847,Laboratory,DEP-pY97,60,256,16,10 AM - 5 PM,yes,31029
61993,ICU,DEP-gg63,20,264,85,10 AM - 8 PM,no,43540
86374,Radiology,DEP-BA65,52,392,92,8 AM - 5 PM,no,50140
61213,Dermatology,DEP-dz01,33,393,83,8 AM - 7 PM,no,40001
95448,Neurology,DEP-pm51,2,284,80,10 AM - 4 PM,yes,36517
24931,Emergency,DEP-iB87,54,309,34,7 AM - 6 PM,yes,70282
24050,Pediatrics,DEP-pe47,94,195,21,9 AM - 10 PM,no,78193
58082,ICU,DEP-dP81,167,320,2,11 AM - 10 PM,no,75574
70855,Laboratory,DEP-Wp01,26,499,18,8 AM - 4 PM,yes,90027
21798,Pharmacy,DEP-En67,141,129,35,8 AM - 8 PM,yes,43279
52565,Pharmacy,DEP-ya02,87,154,88,11 AM - 10 PM,no,87410
51173,Emergency,DEP-sB47,125,178,7,6 AM - 9 PM,no,49695
91303,Radiology,DEP-jm87,11,51,43,12 AM - 5 PM,no,27549
38890,Orthopedics,DEP-LV30,189,276,71,11 AM - 7 PM,yes,62021
71066,Neurology,DEP-dd05,19,403,20,10 AM - 4 PM,no,82960
76569,ICU,DEP-Hk78,141,125,56,7 AM - 4 PM,no,19313
7455,Surgery,DEP-le81,10,233,27,11 AM - 5 PM,yes,59692
77992,Surgery,DEP-zh13,199,336,53,10 AM - 9 PM,yes,31979
74668,Pediatrics,DEP-Mc39,41,459,23,9 AM - 4 PM,yes,67889
81183,Pharmacy,DEP-QL16,85,450,53,12 AM - 9 PM,yes,69616
74085,Radiology,DEP-qn85,40,453,90,6 AM - 7 PM,yes,55933
87782,Oncology,DEP-qz53,56,152,59,8 AM - 6 PM,yes,98536
17154,Pediatrics,DEP-uW47,6,387,25,9 AM - 6 PM,no,10155
9508,Neurology,DEP-NK07,197,192,45,11 AM - 8 PM,no,19769
13104,Laboratory,DEP-nG18,137,219,4,6 AM - 6 PM,yes,61069
34760,ICU,DEP-ep25,67,69,14,10 AM - 7 PM,no,91163
48434,Pharmacy,DEP-CI42,80,273,78,10 AM - 4 PM,no,98759
92214,ICU,DEP-ZP49,48,180,6,11 AM - 7 PM,yes,79069
69329,Emergency,DEP-tQ08,137,401,93,11 AM - 9 PM,yes,87670
13577,Surgery,DEP-hg24,110,85,86,8 AM - 8 PM,no,70008
97310,Laboratory,DEP-rs82,31,418,39,10 AM - 6 PM,no,23819
79276,Surgery,DEP-nR35,103,406,38,10 AM - 5 PM,yes,36471
83130,Dermatology,DEP-Fq48,170,244,87,11 AM - 5 PM,no,70702
6658,Dermatology,DEP-rc16,140,476,1,8 AM - 6 PM,yes,5276
464,Dermatology,DEP-Oq52,148,360,84,8 AM - 7 PM,no,16544
21178,Oncology,DEP-TB78,172,159,66,9 AM - 10 PM,yes,21992
73519,Laboratory,DEP-eS01,21,195,66,11 AM - 9 PM,no,14168
19536,Neurology,DEP-xL80,192,170,87,8 AM - 5 PM,yes,9961
72420,Orthopedics,DEP-ic26,6,73,32,9 AM - 8 PM,yes,78697
40404,Oncology,DEP-wn50,106,372,74,7 AM - 9 PM,no,9038
89399,Oncology,DEP-wX31,102,174,19,11 AM - 9 PM,yes,47472
73385,Neurology,DEP-Vj69,199,267,29,7 AM - 10 PM,no,35400
31029,Cardiology,DEP-Ab22,142,177,16,9 AM - 5 PM,no,35179
23509,Laboratory,DEP-ZQ56,135,336,77,8 AM - 10 PM,no,74691
96345,ICU,DEP-kY34,184,308,55,12 AM - 8 PM,no,27802
91917,Orthopedics,DEP-cE16,190,491,61,9 AM - 6 PM,yes,67715
29154,Laboratory,DEP-wt37,70,442,100,10 AM - 7 PM,yes,90519
29831,Radiology,DEP-Qm30,112,89,92,8 AM - 5 PM,no,29045
52227,Surgery,DEP-eX54,81,326,11,7 AM - 5 PM,yes,97771
36585,Dermatology,DEP-zR58,177,128,91,7 AM - 4 PM,no,15814
70282,Dermatology,DEP-hq50,84,327,60,9 AM - 4 PM,yes,94972
23405,Dermatology,DEP-cg94,99,444,75,11 AM - 4 PM,no,47301
78193,Oncology,DEP-UY65,1,230,39,12 AM - 7 PM,no,38290
41114,Emergency,DEP-Gh69,191,426,70,12 AM - 8 PM,yes,37268
50488,Oncology,DEP-qc93,56,189,56,9 AM - 4 PM,no,14953
92901,Surgery,DEP-HZ60,171,397,52,11 AM - 5 PM,no,19555
70575,Orthopedics,DEP-Be35,159,323,4,9 AM - 8 PM,yes,79471
87062,Neurology,DEP-uQ59,164,269,18,12 AM - 7 PM,yes,77139
16334,Cardiology,DEP-tQ48,66,244,42,7 AM - 7 PM,no,81987
53528,Surgery,DEP-Ss56,194,500,49,8 AM - 10 PM,no,350
72667,Radiology,DEP-AQ23,20,290,3,11 AM - 8 PM,yes,92662
49695,Surgery,DEP-Kt29,57,382,9,12 AM - 9 PM,yes,77304
53225,Cardiology,DEP-ts80,63,152,3,10 AM - 5 PM,yes,19528
27549,Orthopedics,DEP-MP69,121,392,15,10 AM - 5 PM,no,98167
42237,Pharmacy,DEP-CR77,65,442,48,7 AM - 8 PM,yes,91715
28010,Orthopedics,DEP-YY87,79,105,75,6 AM - 6 PM,no,56626
96463,Dermatology,DEP-sG21,183,151,10,10 AM - 9 PM,yes,76955
87012,Neurology,DEP-fW95,178,445,39,12 AM - 9 PM,yes,85394
30784,ICU,DEP-Zm43,200,71,45,10 AM - 7 PM,no,61605
19313,Neurology,DEP-pE00,129,381,44,6 AM - 10 PM,no,64942
80120,Oncology,DEP-AO17,27,271,47,11 AM - 10 PM,no,15194
75454,Pharmacy,DEP-Fz36,39,272,23,11 AM - 8 PM,no,7104
31979,ICU,DEP-WX20,137,446,62,9 AM - 7 PM,no,26680
13970,Surgery,DEP-lZ63,62,475,12,8 AM - 7 PM,yes,82578
91214,Oncology,DEP-dJ87,145,362,86,9 AM - 6 PM,yes,12217
32662,Oncology,DEP-iZ17,83,143,63,7 AM - 6 PM,no,65323
60901,Surgery,DEP-Mu88,71,500,77,11 AM - 6 PM,yes,59871
98992,Emergency,DEP-UG79,48,93,31,11 AM - 7 PM,no,44548
55933,Emergency,DEP-kV87,194,173,89,9 AM - 9 PM,no,76011
