workload_hours_week,doctor_id,department_id
50,83810,83810
17,97080,32098
11,30495,88696
57,28893,4165
27,44597,66237
25,45082,93850
24,72357,77236
18,29871,20926
57,83320,28221
16,83227,12676
53,90198,5695
57,52581,10328
44,60142,47400
15,47447,6006
47,20033,13238
37,78104,47819
12,98419,87841
11,94646,22431
15,39117,49735
23,69514,42504
24,31385,41347
42,99693,74341
48,69163,51856
11,26365,32325
45,32493,76622
22,82719,28746
55,36500,99061
51,61953,20969
54,56498,50019
44,7944,72512
36,18373,98419
24,12833,56985
38,21798,94329
47,282,66542
27,72845,79818
10,96434,21174
58,20635,42487
20,52923,40306
54,54948,10322
37,34814,69822
31,81416,72063
27,45745,55461
19,39651,90422
23,13577,85180
58,35697,15860
31,32914,2757
16,464,28864
15,56057,7716
34,72420,9287
16,89399,63624
32,31029,74847
32,43540,61993
48,50140,86374
26,40001,61213
12,36517,95448
56,70282,24931
39,78193,24050
44,75574,58082
17,90027,70855
34,43279,21798
15,87410,52565
45,49695,51173
28,27549,91303
50,62021,38890
49,82960,71066
33,19313,76569
46,59692,7455
22,31979,77992
55,67889,74668
14,69616,81183
12,55933,74085
52,98536,87782
24,10155,17154
59,19769,9508
28,61069,13104
15,91163,34760
24,98759,48434
16,79069,92214
34,87670,69329
27,70008,13577
39,23819,97310
50,36471,79276
33,70702,83130
20,5276,6658
33,16544,464
32,21992,21178
23,14168,73519
52,9961,19536
27,78697,72420
54,9038,40404
53,47472,89399
51,35400,73385
14,35179,31029
48,74691,23509
50,27802,96345
20,67715,91917
44,90519,29154
56,29045,29831
25,97771,52227
20,15814,36585
39,94972,70282
34,47301,23405
27,38290,78193
50,37268,41114
54,14953,50488
45,19555,92901
24,79471,70575
53,77139,87062
30,81987,16334
59,350,53528
59,92662,72667
13,77304,49695
24,19528,53225
12,98167,27549
30,91715,42237
35,56626,28010
27,76955,96463
14,85394,87012
23,61605,30784
46,64942,19313
55,15194,80120
30,7104,75454
23,26680,31979
51,82578,13970
41,12217,91214
35,65323,32662
51,59871,60901
39,44548,98992
19,76011,55933
26,72340,62216
18,30613,83579
25,85461,31358
57,13154,37450
45,85823,70798
44,88389,50205
26,80931,53424
57,99663,8161
47,6028,76556
37,54008,772
47,81226,54921
35,33466,28906
33,20706,63654
24,39599,89016
18,47049,81560
42,74177,73975
41,30162,17786
15,86400,49689
58,57779,44236
13,54460,33065
17,63156,70702
19,98848,8993
50,47942,2671
20,98174,62070
60,81205,91680
53,91891,79593
37,15220,75849
48,91289,49192
14,80694,90520
34,30947,39529
34,36160,5383
48,83819,48571
39,8992,1658
43,78116,47472
26,14408,96180
45,42437,70539
10,8330,77656
53,5683,36559
56,52640,74691
17,79730,64789
53,59469,46507
44,94481,91905
58,54524,25042
27,62163,64038
59,17054,84659
51,98341,12196
31,13579,31890
17,72910,72544
28,80422,72140
37,46009,35509
20,4018,94540
39,48503,70236
10,6522,63464
56,35804,78222
56,69066,29816
26,26794,92801
42,1013,7146
58,73233,83606
21,2456,37268
42,83904,24164
16,60305,8564
50,77184,82502
29,10011,73772
50,84599,73147
42,99642,81057
48,58838,58028
22,8950,74531
19,40685,13006
33,77867,10641
58,24672,9838
20,93626,90357
44,68690,30340
59,88984,9329
43,50667,81927
10,45851,71376
48,40577,9359
30,87878,77993
41,25166,61433
11,70748,70776
17,17176,5224
33,94526,3390
29,58841,76955
25,88907,99125
13,65916,57963
25,6839,83202
46,37363,53523
15,12021,21079
15,6980,37777
56,3694,11542
41,61925,52976
14,2490,60552
58,39472,47419
44,70261,99613
59,80584,17172
18,8870,15915
18,50709,93032
52,96068,72384
40,84252,60482
45,23891,38254
20,26144,61894
26,4799,50277
43,16315,17892
48,24486,54387
37,78964,37072
23,38750,64178
44,58606,45236
58,7518,49441
56,79635,31300
54,47467,53841
22,58188,92435
55,3396,85461
29,34116,65836
35,17790,13069
52,41889,18894
51,66683,34737
33,72616,85175
38,52187,49808
43,16426,80931
38,16821,37667
17,7263,99663
25,68012,39251
24,81922,7355
14,86341,19080
31,10646,89364
11,83753,79887
47,89783,65230
45,26741,83611
24,99701,1231
47,32495,20706
24,20932,39210
10,61186,26111
14,31552,49986
55,88148,91655
50,47943,35976
13,47516,97605
24,89181,37512
14,73116,28705
12,5938,99035
31,67568,5167
14,44089,47823
42,2180,97973
25,90183,70701
27,94555,21567
52,4138,97853
41,54127,18449
23,8163,47942
44,41124,70329
18,25200,98174
56,27168,48689
46,35842,81205
46,19198,84889
40,97955,85097
25,80698,4877
60,30518,30775
40,679,48629
36,62580,95236
22,75252,64139
16,4763,90476
16,4910,30947
52,84058,71364
37,14764,24878
32,74420,27801
37,11368,43713
36,34181,26896
39,75088,28305
56,20934,78116
13,28947,70807
53,54505,3379
51,10730,31186
51,71781,34782
16,15235,68955
13,7292,47453
35,88181,66039
56,28560,86363
31,61875,4082
16,55097,89928
25,10518,9632
22,70419,8609
22,60686,76724
44,45371,69541
38,2050,56387
18,32077,72264
37,18367,54239
21,18777,95631
27,77550,87177
39,84320,62163
25,49343,56606
14,18920,72924
38,17575,43207
45,70206,98341
16,9539,40953
13,39739,27884
51,31797,45890
44,37101,36512
10,61080,73526
15,48589,72972
58,76550,35054
25,32208,99930
20,22050,23777
36,84123,9120
41,54053,69531
40,59770,44681
23,69758,42517
35,91469,20392
13,31584,10693
20,53218,63656
34,85686,28255
10,62390,14534
34,43420,87442
26,27710,78554
60,36749,27686
60,27152,15726
39,73919,23028
28,50311,30161
37,12803,46421
54,42778,57176
56,49207,75465
60,32302,83904
45,96948,2733
52,99791,60305
55,53483,31891
41,1617,10308
19,74967,29041
22,19127,82998
28,47333,45793
23,14021,19194
13,43193,20036
47,26326,64764
57,91089,58838
44,47843,41436
13,60505,57961
57,65444,46129
30,58860,59233
13,71256,10057
13,46531,50394
47,13886,96851
40,77147,85437
42,15213,65715
43,63298,45015
20,93163,5130
13,31970,68517
42,82543,37079
15,25863,88984
21,8200,84843
14,34387,73133
48,14972,86057
14,80541,76380
53,48929,91551
25,55448,11104
35,24523,43054
17,17895,87878
46,93079,47526
25,38284,63736
47,64921,10114
48,71046,70748
12,96467,81006
49,45688,21266
15,77060,94526
36,27124,88652
52,38356,98617
47,7770,40562
46,93243,74766
43,35221,50052
30,52802,26174
26,324,84040
23,91395,93244
52,64843,21012
55,45054,57340
30,2134,3495
25,90255,49015
26,47242,29430
35,91677,85191
18,10215,37601
52,15806,61487
51,95782,2490
29,84092,95320
39,94690,37762
30,11362,31252
58,41222,14530
14,79638,82831
10,26928,18818
39,64865,46244
49,41480,87080
46,99972,68951
16,28277,72633
14,65673,83318
44,80746,2128
23,70305,96068
42,7589,43583
26,87304,44374
18,21473,82802
32,15473,59988
14,93365,26144
25,65484,52196
33,88358,98735
28,6026,6265
20,72465,48237
38,94409,50678
44,67603,65211
55,42899,10828
29,81620,23652
49,96005,10494
51,30539,78986
43,49319,46077
10,64491,80589
52,68125,7518
45,12527,98290
29,57014,88878
52,96384,30932
16,14283,4244
18,46961,48623
26,89922,75225
17,11955,41207
16,34100,96426
57,72105,73619
45,17133,92279
19,2857,90961
27,16059,9706
28,51773,11506
48,36042,72089
23,38680,93298
55,17987,15907
31,50134,64752
23,42153,48353
53,61824,11300
50,31608,94223
26,50911,53665
42,91439,84192
41,64517,67811
26,2612,83859
13,42413,56704
15,9506,20056
