disease_id,disease_name
83810,Kidney Disease
14592,Hypertension
3278,Diabetes
97196,Osteoporosis
36048,COPD
32098,Arthritis
29256,Arthritis
18289,Asthma
96530,Osteoporosis
13434,Hypertension
88696,Kidney Disease
97080,Osteoporosis
71482,Hypothyroidism
11395,Cancer
77397,Hypertension
55302,Heart Disease
4165,Depression
3905,Diabetes
12280,Diabetes
28657,Hypertension
30495,Arthritis
66237,Arthritis
78907,Cancer
3478,Heart Disease
73563,Diabetes
26062,Cancer
93850,Arthritis
85181,Osteoporosis
91924,Kidney Disease
71426,Osteoporosis
54987,Cancer
28893,Depression
58878,Arthritis
77236,Epilepsy
36463,Heart Disease
851,COPD
99458,Stroke
20926,Anemia
91506,Diabetes
55392,Stroke
44597,Stroke
36421,Asthma
20379,Osteoporosis
28221,Depression
44118,Obesity
13396,COPD
12156,Asthma
49797,Arthritis
12676,Stroke
47052,Obesity
45082,Hypertension
79131,Hypertension
34671,Depression
5695,Hypertension
95647,Obesity
60217,Anemia
70284,Obesity
16361,Heart Disease
49615,COPD
10328,Stroke
72357,Diabetes
38427,Osteoporosis
82397,Epilepsy
81070,Cancer
47400,Hypertension
75674,Hypothyroidism
25203,Depression
92349,Hypertension
9116,Cancer
6006,COPD
86673,Anemia
29871,Kidney Disease
37930,Heart Disease
10458,Hypothyroidism
30512,Anemia
13238,Obesity
49823,Heart Disease
36434,Arthritis
59429,Osteoporosis
83320,Hypertension
47819,Diabetes
21319,Kidney Disease
48520,Arthritis
46566,Stroke
27460,COPD
87841,Hypertension
34993,Anemia
91988,Arthritis
89593,Anemia
84939,Hypertension
9358,Depression
79840,COPD
83227,Epilepsy
22431,Kidney Disease
70010,Anemia
95568,Obesity
32087,Asthma
21417,Obesity
60589,Obesity
49735,Arthritis
35382,Kidney Disease
83886,COPD
90198,Osteoporosis
73000,Hypothyroidism
28785,Kidney Disease
89733,Kidney Disease
42504,Hypertension
7331,Heart Disease
30021,Kidney Disease
4207,Asthma
41347,Cancer
52581,Osteoporosis
35093,Arthritis
8675,Asthma
27653,Epilepsy
74341,Depression
94098,COPD
41245,Hypothyroidism
27869,Kidney Disease
85909,Osteoporosis
65435,Cancer
51856,Arthritis
84259,Kidney Disease
60142,Obesity
18726,Anemia
34718,Stroke
18301,Stroke
32325,Diabetes
97647,Arthritis
73579,Anemia
70644,Diabetes
34438,Stroke
97912,Obesity
76622,Depression
56155,COPD
76484,Hypertension
52350,Arthritis
47447,Hypothyroidism
28746,Heart Disease
18131,Hypothyroidism
66784,Osteoporosis
64686,Obesity
11915,Arthritis
99061,Kidney Disease
6175,Epilepsy
14371,Depression
20033,Hypothyroidism
82240,Hypothyroidism
20969,Kidney Disease
89192,Epilepsy
55333,Asthma
78172,COPD
8326,Asthma
50432,Arthritis
50019,Osteoporosis
78104,Cancer
61348,Cancer
69352,COPD
32953,Osteoporosis
72512,Heart Disease
1504,Depression
89166,Hypothyroidism
94466,Heart Disease
15014,Depression
89353,Obesity
70381,Arthritis
98419,Asthma
34973,Cancer
84012,Epilepsy
44587,Hypertension
14621,Stroke
38469,Diabetes
56985,Anemia
20730,Hypertension
59470,Asthma
425,Kidney Disease
94646,Asthma
94329,Stroke
34522,Kidney Disease
65612,Depression
99871,Heart Disease
23416,Hypertension
66542,Depression
13947,Depression
81959,Heart Disease
39117,Epilepsy
83748,Cancer
66540,COPD
79818,Cancer
26071,Anemia
20032,Diabetes
49009,Kidney Disease
99943,Osteoporosis
21174,Hypertension
70697,Kidney Disease
69514,Hypothyroidism
74,Cancer
78504,Stroke
42487,COPD
64042,Stroke
2552,Kidney Disease
14662,Obesity
47576,Hypertension
40306,COPD
31385,Depression
7592,Asthma
31571,Epilepsy
74364,Diabetes
10322,Osteoporosis
11226,Hypothyroidism
95932,Osteoporosis
63699,COPD
9071,Cancer
99693,Stroke
69822,Asthma
16483,Cancer
16828,Hypothyroidism
86474,Hypertension
62296,Anemia
72063,Kidney Disease
21643,COPD
34741,Anemia
69163,Kidney Disease
79507,Cancer
55461,Heart Disease
27760,Arthritis
70686,Asthma
98994,Obesity
95673,Stroke
90422,Asthma
26365,Cancer
93447,Stroke
40857,Hypothyroidism
52296,Cancer
88039,Hypothyroidism
85180,Diabetes
48944,Heart Disease
57422,Obesity
67839,Epilepsy
59177,Diabetes
15860,Hypertension
32493,Hypothyroidism
29451,Obesity
8392,Hypothyroidism
44313,Anemia
2757,Stroke
77110,COPD
72603,Arthritis
30161,Diabetes
77128,Arthritis
28864,Hypothyroidism
942,Heart Disease
9305,Hypertension
92778,Hypertension
82719,Osteoporosis
7716,Epilepsy
30007,Anemia
8834,Hypertension
4117,Stroke
43309,Cancer
9287,Stroke
67391,Asthma
31195,Asthma
36500,Kidney Disease
87684,Epilepsy
63624,Cancer
28080,Asthma
70678,COPD
17342,Cancer
94811,Anemia
74847,Heart Disease
75525,Depression
61953,Arthritis
31850,Hypothyroidism
61993,Cancer
53354,Stroke
24957,Osteoporosis
12363,Osteoporosis
12704,Arthritis
86374,Osteoporosis
56498,COPD
46438,Depression
55519,Kidney Disease
53883,Kidney Disease
61213,Obesity
95561,Epilepsy
7100,Hypothyroidism
88259,Cancer
85649,Epilepsy
84696,Hypertension
12899,Arthritis
7944,Arthritis
52772,Hypertension
95448,Obesity
44473,Diabetes
14322,Heart Disease
32591,Cancer
25112,Arthritis
24931,Heart Disease
70292,Arthritis
58800,Diabetes
18373,Hypertension
55296,Osteoporosis
24050,Kidney Disease
36509,Diabetes
60637,Arthritis
32742,Hypertension
9880,Hypothyroidism
58082,Diabetes
72132,Anemia
12833,Obesity
6630,Hypertension
85477,Cancer
70855,Arthritis
1934,COPD
12224,Kidney Disease
98771,Epilepsy
30982,Arthritis
21798,Cancer
53269,Asthma
63653,Osteoporosis
63092,Hypothyroidism
28016,Hypothyroidism
52565,Heart Disease
7685,Heart Disease
21579,Epilepsy
49672,Arthritis
282,Stroke
51173,Epilepsy
34760,Stroke
59638,Depression
37388,Arthritis
55444,Hypertension
91303,Hypertension
95748,Kidney Disease
72845,Depression
86752,Obesity
94163,Depression
63788,Depression
20289,Epilepsy
24890,Anemia
38890,Osteoporosis
28534,Diabetes
7665,Kidney Disease
75914,Kidney Disease
96434,Kidney Disease
71066,Hypertension
7989,Diabetes
98038,Depression
41104,Osteoporosis
7492,Obesity
6572,Stroke
76569,Anemia
62493,Hypertension
65909,Arthritis
69615,Arthritis
20635,Arthritis
7455,Cancer
66562,Epilepsy
10500,Asthma
24356,Depression
8981,Asthma
77992,COPD
8907,Epilepsy
88501,Arthritis
30828,Anemia
52923,Hypothyroidism
15713,Hypertension
74668,Epilepsy
32271,Stroke
75880,Anemia
77924,Anemia
5209,Cancer
81183,Hypertension
10745,Diabetes
54948,Kidney Disease
86163,Cancer
76503,Anemia
74085,Diabetes
68522,Hypertension
41467,Hypothyroidism
34179,Stroke
26772,Anemia
87782,Arthritis
93872,Asthma
41180,Depression
31285,Epilepsy
34814,Epilepsy
51876,Arthritis
17154,Anemia
84607,Depression
39321,Hypothyroidism
59929,Diabetes
41441,Asthma
98548,Depression
9508,Diabetes
1220,Depression
60068,COPD
81416,Hypothyroidism
73792,Stroke
13104,Stroke
9602,Epilepsy
70468,COPD
27938,Depression
66307,Osteoporosis
17361,Osteoporosis
45745,Stroke
9016,Cancer
32018,Kidney Disease
48434,Osteoporosis
37353,Epilepsy
20676,Asthma
57433,Arthritis
71200,COPD
92214,Arthritis
39651,Diabetes
80173,Heart Disease
85717,Osteoporosis
69329,Cancer
1025,Diabetes
87538,Osteoporosis
72692,Obesity
39240,Diabetes
86951,Diabetes
13577,Heart Disease
17601,Epilepsy
34664,Cancer
15129,Hypothyroidism
14029,Anemia
97310,Cancer
20374,Asthma
35697,Diabetes
36930,Cancer
79276,Hypertension
27607,Anemia
94058,Asthma
44942,Hypertension
26685,Heart Disease
90111,Hypertension
83130,Kidney Disease
34600,Anemia
66244,Arthritis
64032,Depression
32914,Hypertension
6658,Hypothyroidism
12097,Heart Disease
83136,Arthritis
55518,Heart Disease
36265,Heart Disease
5778,Diabetes
464,Heart Disease
43719,Hypertension
17146,Depression
83507,Kidney Disease
34335,Heart Disease
21178,Heart Disease
97154,Cancer
57912,Obesity
72309,Hypothyroidism
92493,COPD
56057,Arthritis
73519,Kidney Disease
1267,Osteoporosis
14663,Obesity
9862,Arthritis
90573,COPD
19536,Depression
71511,Asthma
4722,Kidney Disease
48393,Kidney Disease
76350,COPD
