equipment_name,department_id
Anesthesia Machine,83810
CT Scanner,32098
MRI Scanner,88696
Patient Monitor,4165
ECG Monitor,66237
Ultrasound,93850
Ultrasound,77236
X-Ray Machine,20926
Patient Monitor,28221
CT Scanner,12676
Anesthesia Machine,5695
Patient Monitor,10328
Dialysis Machine,47400
CT Scanner,6006
Surgical Light,13238
Defibrillator,47819
MRI Scanner,87841
MRI Scanner,22431
CT Scanner,49735
Ultrasound,42504
Ultrasound,41347
Dialysis Machine,74341
Surgical Light,51856
MRI Scanner,32325
Dialysis Machine,76622
Ultrasound,28746
Patient Monitor,99061
Anesthesia Machine,20969
Patient Monitor,50019
Dialysis Machine,72512
Defibrillator,98419
Ultrasound,56985
Infusion Pump,94329
Surgical Light,66542
ECG Monitor,79818
MRI Scanner,21174
X-Ray Machine,42487
Patient Monitor,40306
Defibrillator,10322
Ventilator,69822
ECG Monitor,72063
X-Ray Machine,55461
Ultrasound,90422
Ventilator,85180
CT Scanner,15860
CT Scanner,2757
Defibrillator,28864
CT Scanner,7716
Ventilator,9287
Ventilator,63624
Surgical Light,74847
ECG Monitor,61993
MRI Scanner,86374
Patient Monitor,61213
Infusion Pump,95448
Dialysis Machine,24931
CT Scanner,24050
Defibrillator,58082
CT Scanner,70855
Dialysis Machine,21798
ECG Monitor,52565
Anesthesia Machine,51173
Surgical Light,91303
Ventilator,38890
Surgical Light,71066
Ultrasound,76569
Patient Monitor,7455
CT Scanner,77992
MRI Scanner,74668
Anesthesia Machine,81183
Ultrasound,74085
ECG Monitor,87782
CT Scanner,17154
Ultrasound,9508
CT Scanner,13104
Defibrillator,34760
ECG Monitor,48434
Infusion Pump,92214
Anesthesia Machine,69329
Ventilator,13577
X-Ray Machine,97310
Ventilator,79276
Ventilator,83130
Ultrasound,6658
Anesthesia Machine,464
ECG Monitor,21178
Patient Monitor,73519
Anesthesia Machine,19536
Anesthesia Machine,72420
CT Scanner,40404
Surgical Light,89399
Anesthesia Machine,73385
X-Ray Machine,31029
Dialysis Machine,23509
Patient Monitor,96345
Ultrasound,91917
X-Ray Machine,29154
Infusion Pump,29831
Defibrillator,52227
ECG Monitor,36585
Anesthesia Machine,70282
Patient Monitor,23405
Dialysis Machine,78193
Ultrasound,41114
Anesthesia Machine,50488
Ventilator,92901
MRI Scanner,70575
Ultrasound,87062
MRI Scanner,16334
Ventilator,53528
Defibrillator,72667
ECG Monitor,49695
CT Scanner,53225
Ultrasound,27549
Surgical Light,42237
Patient Monitor,28010
Ventilator,96463
Ultrasound,87012
Anesthesia Machine,30784
Infusion Pump,19313
Defibrillator,80120
Anesthesia Machine,75454
Infusion Pump,31979
X-Ray Machine,13970
ECG Monitor,91214
X-Ray Machine,32662
Ultrasound,60901
Patient Monitor,98992
Dialysis Machine,55933
Dialysis Machine,62216
ECG Monitor,83579
Patient Monitor,31358
Surgical Light,37450
Defibrillator,70798
Surgical Light,50205
Defibrillator,53424
Ventilator,8161
Ultrasound,76556
X-Ray Machine,772
Dialysis Machine,54921
Infusion Pump,28906
CT Scanner,63654
MRI Scanner,89016
CT Scanner,81560
X-Ray Machine,73975
Anesthesia Machine,17786
X-Ray Machine,49689
Anesthesia Machine,44236
Defibrillator,33065
Surgical Light,70702
CT Scanner,8993
Defibrillator,2671
Defibrillator,62070
Surgical Light,91680
Infusion Pump,79593
Dialysis Machine,75849
ECG Monitor,49192
Dialysis Machine,90520
MRI Scanner,39529
Anesthesia Machine,5383
Patient Monitor,48571
CT Scanner,1658
Anesthesia Machine,47472
Dialysis Machine,96180
ECG Monitor,70539
Anesthesia Machine,77656
Ventilator,36559
CT Scanner,74691
ECG Monitor,64789
Defibrillator,46507
X-Ray Machine,91905
Infusion Pump,25042
MRI Scanner,64038
Patient Monitor,84659
Patient Monitor,12196
ECG Monitor,31890
Dialysis Machine,72544
X-Ray Machine,72140
Dialysis Machine,35509
CT Scanner,94540
Anesthesia Machine,70236
ECG Monitor,63464
Anesthesia Machine,78222
Dialysis Machine,29816
Surgical Light,92801
Ultrasound,7146
X-Ray Machine,83606
Ventilator,37268
X-Ray Machine,24164
Dialysis Machine,8564
Dialysis Machine,82502
MRI Scanner,73772
Surgical Light,73147
Ventilator,81057
Infusion Pump,58028
MRI Scanner,74531
CT Scanner,13006
Ventilator,10641
ECG Monitor,9838
Ultrasound,90357
MRI Scanner,30340
Ultrasound,9329
Surgical Light,81927
CT Scanner,71376
CT Scanner,9359
Patient Monitor,77993
Infusion Pump,61433
CT Scanner,70776
Dialysis Machine,5224
X-Ray Machine,3390
X-Ray Machine,76955
Anesthesia Machine,99125
Infusion Pump,57963
Dialysis Machine,83202
X-Ray Machine,53523
ECG Monitor,21079
Dialysis Machine,37777
Surgical Light,11542
Defibrillator,52976
Ultrasound,60552
Dialysis Machine,47419
Patient Monitor,99613
Patient Monitor,17172
Ultrasound,15915
Patient Monitor,93032
ECG Monitor,72384
Defibrillator,60482
Anesthesia Machine,38254
Anesthesia Machine,61894
Ventilator,50277
Infusion Pump,17892
Dialysis Machine,54387
Infusion Pump,37072
CT Scanner,64178
Ultrasound,45236
Ultrasound,49441
CT Scanner,31300
Ventilator,53841
MRI Scanner,92435
Surgical Light,85461
Dialysis Machine,65836
Ultrasound,13069
Surgical Light,18894
Ultrasound,34737
MRI Scanner,85175
CT Scanner,49808
Patient Monitor,80931
Anesthesia Machine,37667
MRI Scanner,99663
Ultrasound,39251
CT Scanner,7355
MRI Scanner,19080
Ventilator,89364
CT Scanner,79887
Dialysis Machine,65230
Ultrasound,83611
ECG Monitor,1231
Anesthesia Machine,20706
Infusion Pump,39210
Ultrasound,26111
Dialysis Machine,49986
X-Ray Machine,91655
Patient Monitor,35976
Surgical Light,97605
Surgical Light,37512
Infusion Pump,28705
Ultrasound,99035
Infusion Pump,5167
Defibrillator,47823
Ultrasound,97973
CT Scanner,70701
CT Scanner,21567
Anesthesia Machine,97853
Defibrillator,18449
Ventilator,47942
Defibrillator,70329
Defibrillator,98174
Infusion Pump,48689
Patient Monitor,81205
MRI Scanner,84889
Anesthesia Machine,85097
Anesthesia Machine,4877
Anesthesia Machine,30775
CT Scanner,48629
MRI Scanner,95236
Defibrillator,64139
Patient Monitor,90476
Ventilator,30947
CT Scanner,71364
Ultrasound,24878
Ultrasound,27801
Ultrasound,43713
Dialysis Machine,26896
Infusion Pump,28305
X-Ray Machine,78116
Defibrillator,70807
X-Ray Machine,3379
ECG Monitor,31186
Infusion Pump,34782
Ultrasound,68955
CT Scanner,47453
Infusion Pump,66039
Dialysis Machine,86363
CT Scanner,4082
MRI Scanner,89928
Anesthesia Machine,9632
Dialysis Machine,8609
MRI Scanner,76724
CT Scanner,69541
Ultrasound,56387
X-Ray Machine,72264
Defibrillator,54239
Infusion Pump,95631
Infusion Pump,87177
