workplace,doctor_id
Private Practice,83810
Main Hospital,97080
Main Hospital,30495
Private Practice,28893
Clinic B,44597
Clinic A,45082
Clinic A,72357
Clinic A,29871
Private Practice,83320
Main Hospital,83227
Private Practice,90198
Private Practice,52581
University Hospital,60142
Main Hospital,47447
University Hospital,20033
Emergency Center,78104
Main Hospital,98419
Main Hospital,94646
Main Hospital,39117
Clinic A,69514
Clinic A,31385
University Hospital,99693
University Hospital,69163
Main Hospital,26365
University Hospital,32493
Clinic A,82719
Private Practice,36500
Private Practice,61953
Private Practice,56498
University Hospital,7944
Emergency Center,18373
Clinic A,12833
Emergency Center,21798
University Hospital,282
Clinic B,72845
Rural Health Unit,96434
Rural Health Unit,20635
Main Hospital,52923
Rural Health Unit,54948
Rural Health Unit,34814
Clinic A,81416
Private Practice,45745
Emergency Center,39651
Clinic B,13577
Clinic B,35697
Clinic A,32914
Clinic A,464
Rural Health Unit,56057
Clinic B,72420
Main Hospital,89399
Main Hospital,31029
Emergency Center,43540
Main Hospital,50140
Clinic B,40001
Rural Health Unit,36517
Clinic B,70282
University Hospital,78193
Clinic B,75574
Rural Health Unit,90027
Main Hospital,43279
Private Practice,87410
Emergency Center,49695
University Hospital,27549
Main Hospital,62021
Emergency Center,82960
Main Hospital,19313
University Hospital,59692
Clinic B,31979
Rural Health Unit,67889
Private Practice,69616
University Hospital,55933
Rural Health Unit,98536
Clinic B,10155
University Hospital,19769
Clinic A,61069
Private Practice,91163
Main Hospital,98759
Main Hospital,79069
Private Practice,87670
Clinic A,70008
Rural Health Unit,23819
Clinic B,36471
Main Hospital,70702
Rural Health Unit,5276
Clinic A,16544
Rural Health Unit,21992
Main Hospital,14168
Emergency Center,9961
Clinic B,78697
Emergency Center,9038
Private Practice,47472
Rural Health Unit,35400
Clinic B,35179
Clinic A,74691
Clinic B,27802
Clinic B,67715
Clinic A,90519
Private Practice,29045
Clinic B,97771
Private Practice,15814
Private Practice,94972
Private Practice,47301
Main Hospital,38290
University Hospital,37268
Private Practice,14953
Clinic A,19555
University Hospital,79471
Private Practice,77139
Clinic A,81987
Clinic A,350
Emergency Center,92662
Emergency Center,77304
Clinic B,19528
Private Practice,98167
Private Practice,91715
University Hospital,56626
Clinic A,76955
Private Practice,85394
Clinic B,61605
Rural Health Unit,64942
Rural Health Unit,15194
Rural Health Unit,7104
Main Hospital,26680
Clinic A,82578
Rural Health Unit,12217
Main Hospital,65323
Rural Health Unit,59871
Clinic B,44548
Emergency Center,76011
Clinic B,72340
Main Hospital,30613
Clinic A,85461
University Hospital,13154
Private Practice,85823
Clinic B,88389
Clinic A,80931
Private Practice,99663
Emergency Center,6028
Emergency Center,54008
Private Practice,81226
Emergency Center,33466
Clinic A,20706
Clinic B,39599
Clinic A,47049
Clinic A,74177
Private Practice,30162
University Hospital,86400
University Hospital,57779
Clinic B,54460
Private Practice,63156
University Hospital,98848
Emergency Center,47942
University Hospital,98174
Emergency Center,81205
Clinic B,91891
Clinic A,15220
Clinic A,91289
University Hospital,80694
Emergency Center,30947
Main Hospital,36160
Rural Health Unit,83819
Main Hospital,8992
Rural Health Unit,78116
Main Hospital,14408
Clinic A,42437
Private Practice,8330
Clinic A,5683
Rural Health Unit,52640
Private Practice,79730
Emergency Center,59469
University Hospital,94481
Main Hospital,54524
Emergency Center,62163
Emergency Center,17054
University Hospital,98341
Emergency Center,13579
University Hospital,72910
Clinic B,80422
University Hospital,46009
Rural Health Unit,4018
Main Hospital,48503
Private Practice,6522
Private Practice,35804
Main Hospital,69066
Private Practice,26794
University Hospital,1013
Rural Health Unit,73233
Clinic B,2456
Rural Health Unit,83904
Private Practice,60305
Clinic B,77184
Main Hospital,10011
Clinic B,84599
Emergency Center,99642
Clinic A,58838
Emergency Center,8950
Main Hospital,40685
Private Practice,77867
Private Practice,24672
Clinic B,93626
University Hospital,68690
Rural Health Unit,88984
Clinic A,50667
University Hospital,45851
Main Hospital,40577
Rural Health Unit,87878
Private Practice,25166
Clinic B,70748
Rural Health Unit,17176
Private Practice,94526
University Hospital,58841
University Hospital,88907
Clinic A,65916
Clinic A,6839
Clinic B,37363
Rural Health Unit,12021
Clinic A,6980
University Hospital,3694
Rural Health Unit,61925
University Hospital,2490
Main Hospital,39472
University Hospital,70261
Clinic B,80584
Emergency Center,8870
Main Hospital,50709
Main Hospital,96068
Clinic B,84252
Rural Health Unit,23891
Rural Health Unit,26144
Clinic B,4799
Clinic A,16315
Main Hospital,24486
Clinic A,78964
University Hospital,38750
Main Hospital,58606
Main Hospital,7518
Private Practice,79635
Emergency Center,47467
Rural Health Unit,58188
Main Hospital,3396
Rural Health Unit,34116
University Hospital,17790
Rural Health Unit,41889
Clinic A,66683
Clinic A,72616
Private Practice,52187
Emergency Center,16426
University Hospital,16821
Clinic A,7263
Clinic B,68012
University Hospital,81922
Rural Health Unit,86341
University Hospital,10646
Emergency Center,83753
Clinic A,89783
University Hospital,26741
Rural Health Unit,99701
Private Practice,32495
Private Practice,20932
Clinic A,61186
Private Practice,31552
Clinic B,88148
Emergency Center,47943
Private Practice,47516
Private Practice,89181
Clinic B,73116
Emergency Center,5938
University Hospital,67568
Emergency Center,44089
Main Hospital,2180
Clinic A,90183
Clinic A,94555
Main Hospital,4138
Clinic B,54127
Main Hospital,8163
University Hospital,41124
University Hospital,25200
Clinic A,27168
University Hospital,35842
Clinic A,19198
Main Hospital,97955
Main Hospital,80698
Private Practice,30518
Private Practice,679
Main Hospital,62580
Clinic A,75252
Main Hospital,4763
Main Hospital,4910
Rural Health Unit,84058
Clinic B,14764
Main Hospital,74420
University Hospital,11368
Clinic A,34181
Clinic B,75088
Private Practice,20934
Emergency Center,28947
Clinic A,54505
University Hospital,10730
Clinic A,71781
Private Practice,15235
University Hospital,7292
University Hospital,88181
Emergency Center,28560
Clinic A,61875
Rural Health Unit,55097
Emergency Center,10518
Rural Health Unit,70419
Emergency Center,60686
Clinic A,45371
Main Hospital,2050
Main Hospital,32077
Private Practice,18367
Emergency Center,18777
Clinic B,77550
Emergency Center,84320
Emergency Center,49343
Emergency Center,18920
Rural Health Unit,17575
Private Practice,70206
Main Hospital,9539
Private Practice,39739
Private Practice,31797
Private Practice,37101
Main Hospital,61080
Main Hospital,48589
Emergency Center,76550
Private Practice,32208
Clinic B,22050
Rural Health Unit,84123
Rural Health Unit,54053
Main Hospital,59770
Clinic A,69758
Clinic A,91469
Clinic A,31584
University Hospital,53218
Emergency Center,85686
Clinic A,62390
Emergency Center,43420
Clinic A,27710
Clinic B,36749
Emergency Center,27152
Clinic A,73919
Rural Health Unit,50311
Main Hospital,12803
Emergency Center,42778
Rural Health Unit,49207
Rural Health Unit,32302
Rural Health Unit,96948
University Hospital,99791
Main Hospital,53483
Main Hospital,1617
Private Practice,74967
University Hospital,19127
