disease_id,disease_name
94708,COPD
55778,Asthma
74315,Asthma
11394,Stroke
58089,Hypertension
70284,Cancer
96034,Stroke
8962,Cancer
32219,Stroke
30728,Kidney Disease
57793,Alzheimer
77533,Cancer
21516,Diabetes
87424,Kidney Disease
2551,Obesity
64563,Asthma
1885,Kidney Disease
34230,Diabetes
68208,Obesity
14778,Asthma
65632,Hypertension
4691,Arthritis
70305,Asthma
75564,Obesity
70546,Hepatitis
71961,Heart Disease
30493,Asthma
6086,Epilepsy
7538,Heart Disease
1262,Glaucoma
32914,Hypertension
81962,COPD
65063,COPD
20479,Alzheimer
45157,Glaucoma
10133,Hepatitis
98961,Kidney Disease
96506,Arthritis
78496,Stroke
4949,Thyroid Disease
87461,Stroke
77180,Glaucoma
59442,Thyroid Disease
78554,Obesity
5672,Asthma
87584,COPD
30821,Alzheimer
48482,Hepatitis
25859,Heart Disease
87037,Arthritis
59897,Stroke
7168,Thyroid Disease
62850,Stroke
8403,Thyroid Disease
1058,Diabetes
17459,Kidney Disease
62014,COPD
11890,Thyroid Disease
36774,Epilepsy
63659,Glaucoma
46372,Epilepsy
21826,Glaucoma
25448,Obesity
6870,COPD
63238,Thyroid Disease
10832,Arthritis
89814,Cancer
14502,Kidney Disease
78331,Arthritis
15171,Cancer
98516,Epilepsy
59362,Diabetes
16301,Kidney Disease
96752,Epilepsy
23583,Obesity
54446,Heart Disease
52282,Kidney Disease
61086,Stroke
46375,Glaucoma
41317,Obesity
23544,Glaucoma
60132,Asthma
59508,Heart Disease
27699,COPD
42777,Thyroid Disease
35080,Glaucoma
63180,COPD
5444,Heart Disease
99099,Glaucoma
87674,Obesity
22661,Thyroid Disease
70837,Stroke
59796,Kidney Disease
92181,Stroke
55965,Hepatitis
35620,COPD
99769,Cancer
59640,Glaucoma
28727,Hepatitis
17839,Thyroid Disease
59098,COPD
67803,Alzheimer
58345,Asthma
59079,Glaucoma
23474,Epilepsy
25320,Epilepsy
60718,Heart Disease
79888,Obesity
24114,Glaucoma
36265,Heart Disease
26114,Glaucoma
51931,Asthma
72463,COPD
86777,Cancer
25599,Heart Disease
49241,Obesity
71801,Epilepsy
91723,Alzheimer
72513,Asthma
92440,Hepatitis
7360,Thyroid Disease
45890,Epilepsy
71886,Diabetes
45911,Hypertension
58859,COPD
48347,Cancer
22438,Alzheimer
10837,Glaucoma
87133,COPD
49766,Diabetes
26651,Stroke
85426,Glaucoma
91559,Diabetes
23120,Alzheimer
26253,Hypertension
63917,Thyroid Disease
43355,Hepatitis
19838,Obesity
96906,Arthritis
93427,Epilepsy
44155,Arthritis
89119,Thyroid Disease
74781,Diabetes
27788,Asthma
63307,Heart Disease
49470,Diabetes
14246,Kidney Disease
4567,Stroke
86053,Obesity
53897,Epilepsy
29740,Alzheimer
93277,Arthritis
84953,Obesity
23120,Alzheimer
92367,Diabetes
19424,Alzheimer
66795,Diabetes
58904,Stroke
24410,Cancer
23235,Heart Disease
34101,Kidney Disease
11849,Epilepsy
93268,Thyroid Disease
349,Epilepsy
36913,Epilepsy
82656,Arthritis
90112,Heart Disease
32432,Asthma
8392,Obesity
63995,Epilepsy
82592,COPD
73081,Hepatitis
68581,Arthritis
66582,Obesity
58546,Asthma
94868,Alzheimer
32712,Arthritis
90422,Thyroid Disease
69713,Alzheimer
72249,Hepatitis
99979,Cancer
43659,Thyroid Disease
75268,Hypertension
5616,Obesity
20591,Glaucoma
22525,Cancer
75235,Kidney Disease
96699,Hypertension
88352,Alzheimer
63638,Hypertension
95933,Heart Disease
23292,COPD
65860,Hypertension
7807,COPD
10545,Kidney Disease
50998,Cancer
