department_id,department_name,department_code,current_occupancy,max_capacity,num_staff,working_hours,emergency_support
1,Laboratory,DEP-Vr10_1,28,62,95,8 AM - 5 PM,TRUE
2,Orthopedics,DEP-Vg32_2,188,102,87,11 AM - 8 PM,TRUE
3,ICU,DEP-LB81_3,108,66,4,6 AM - 5 PM,TRUE
4,Emergency,DEP-no01_4,154,63,72,7 AM - 9 PM,TRUE
5,Pediatrics,DEP-Jm90_5,114,351,36,12 AM - 10 PM,TRUE
6,Orthopedics,DEP-oC86_6,178,266,44,8 AM - 5 PM,TRUE
7,Surgery,DEP-WZ40_7,26,97,49,6 AM - 6 PM,TRUE
8,ICU,DEP-rj65_8,67,463,6,11 AM - 7 PM,TRUE
9,Dermatology,DEP-fy51_9,20,332,38,12 AM - 9 PM,TRUE
10,ICU,DEP-Mq55_10,49,410,9,6 AM - 9 PM,TRUE
11,Radiology,DEP-hy78_11,20,487,30,12 AM - 4 PM,TRUE
12,Radiology,DEP-ON84_12,116,375,47,7 AM - 6 PM,TRUE
13,Pediatrics,DEP-Te93_13,171,186,90,11 AM - 9 PM,TRUE
14,ICU,DEP-fo34_14,162,137,69,11 AM - 5 PM,TRUE
15,Oncology,DEP-DO64_15,97,188,82,11 AM - 8 PM,TRUE
16,Laboratory,DEP-wn25_16,83,481,99,12 AM - 4 PM,TRUE
17,Cardiology,DEP-MO41_17,80,255,35,6 AM - 5 PM,TRUE
18,Pediatrics,DEP-kD83_18,167,305,51,11 AM - 7 PM,TRUE
19,Radiology,DEP-oR48_19,35,176,96,10 AM - 8 PM,TRUE
20,Pharmacy,DEP-cZ03_20,149,269,75,9 AM - 6 PM,TRUE
21,Orthopedics,DEP-en64_21,130,302,12,12 AM - 4 PM,TRUE
22,Orthopedics,DEP-PF53_22,160,131,88,9 AM - 8 PM,TRUE
23,Dermatology,DEP-qi72_23,97,355,60,10 AM - 6 PM,TRUE
24,Laboratory,DEP-qV88_24,184,108,88,10 AM - 10 PM,TRUE
25,Laboratory,DEP-zx69_25,87,107,38,9 AM - 5 PM,TRUE
26,Cardiology,DEP-Ff28_26,184,498,93,8 AM - 8 PM,TRUE
27,Emergency,DEP-jO01_27,27,495,81,8 AM - 10 PM,TRUE
28,Orthopedics,DEP-ey69_28,95,440,21,10 AM - 10 PM,TRUE
29,ICU,DEP-Hq97_29,82,300,3,6 AM - 6 PM,TRUE
30,Pediatrics,DEP-RI01_30,14,173,73,6 AM - 4 PM,TRUE
31,Neurology,DEP-hs45_31,194,322,99,7 AM - 5 PM,TRUE
32,Emergency,DEP-aU27_32,42,185,68,12 AM - 8 PM,TRUE
33,Pediatrics,DEP-Wl48_33,138,436,94,11 AM - 5 PM,TRUE
34,Dermatology,DEP-OG14_34,171,382,48,9 AM - 8 PM,TRUE
35,Neurology,DEP-xW32_35,63,165,9,8 AM - 4 PM,TRUE
36,ICU,DEP-aM88_36,56,53,10,11 AM - 9 PM,TRUE
37,Pediatrics,DEP-hx70_37,17,66,43,6 AM - 8 PM,TRUE
38,Radiology,DEP-pK30_38,171,298,28,10 AM - 5 PM,TRUE
39,Pediatrics,DEP-eW17_39,200,292,53,7 AM - 4 PM,TRUE
40,Laboratory,DEP-QE22_40,110,231,55,9 AM - 7 PM,TRUE
41,Laboratory,DEP-HM24_41,167,380,13,6 AM - 7 PM,TRUE
42,Neurology,DEP-WU38_42,63,148,25,10 AM - 7 PM,TRUE
43,Dermatology,DEP-zQ34_43,46,192,60,7 AM - 10 PM,TRUE
44,Oncology,DEP-HC57_44,140,100,7,11 AM - 8 PM,TRUE
45,Neurology,DEP-ev33_45,192,484,31,7 AM - 7 PM,TRUE
46,Oncology,DEP-oL98_46,54,492,52,6 AM - 5 PM,TRUE
47,Cardiology,DEP-TO01_47,99,185,59,8 AM - 7 PM,TRUE
48,Orthopedics,DEP-cv31_48,48,201,28,6 AM - 8 PM,TRUE
49,Pharmacy,DEP-rQ83_49,80,79,7,10 AM - 7 PM,TRUE
50,Cardiology,DEP-iU38_50,130,91,24,6 AM - 8 PM,TRUE
51,Laboratory,DEP-pY97_51,60,256,16,10 AM - 5 PM,TRUE
52,ICU,DEP-gg63_52,20,264,85,10 AM - 8 PM,TRUE
