payment_id,method,amount,payment_date,payment_status,transaction_id
1,online,1321.62,4/21/2023 10:54,refunded,49993
4,debit_card,374.4,2/25/2023 16:48,failed,15864
11,cash,234.2,4/1/2023 9:28,completed,6051
12,cash,2995.31,7/10/2023 11:41,refunded,99391
22,insurance,2502.99,10/28/2023 15:08,failed,79194
32,insurance,4594.69,4/28/2023 16:40,pending,6840
37,cash,4493.72,12/22/2023 3:14,completed,11382
46,insurance,3850.86,1/28/2023 6:04,pending,92843
53,online,1908.1,4/21/2023 14:39,pending,27549
60,credit_card,2194.87,5/19/2023 6:11,refunded,28687
71,credit_card,1606.01,1/22/2023 21:41,pending,35822
82,insurance,1624.8,3/19/2023 11:29,pending,89084
107,debit_card,3311.32,12/21/2023 5:25,failed,24886
111,online,4397.62,4/19/2023 1:20,pending,89125
125,credit_card,4055.68,1/16/2023 11:58,refunded,50890
131,credit_card,1149.42,6/27/2023 17:51,refunded,61940
134,online,1966,8/11/2023 4:36,refunded,60794
142,insurance,3573.18,3/3/2023 8:45,pending,80870
143,online,2020.1,11/27/2023 6:26,completed,15012
147,cash,3651.12,2/24/2023 8:12,failed,51259
156,credit_card,2108.94,2/21/2023 1:29,refunded,73565
160,online,2778.64,2/19/2023 6:34,refunded,28048
168,debit_card,4612.14,4/10/2023 8:13,pending,5113
178,cash,1234.13,11/10/2023 4:18,refunded,9266
186,cash,4814.74,4/15/2023 14:06,failed,62086
196,credit_card,186.03,2/20/2023 19:06,refunded,41084
226,cash,1905.81,12/17/2023 18:00,completed,1648
235,online,876.51,12/12/2023 8:36,completed,75082
256,online,3290.01,12/8/2023 9:24,pending,84012
259,cash,2434.57,1/23/2023 4:32,pending,2382
279,debit_card,2435.95,1/23/2023 17:01,refunded,25782
301,cash,2832.97,2/21/2023 23:23,completed,56074
330,insurance,3287.39,11/9/2023 0:16,completed,56234
350,insurance,4824.47,5/29/2023 16:48,completed,90357
352,cash,1801.33,1/19/2023 9:51,refunded,1482
364,credit_card,3768.75,6/13/2023 6:42,pending,53541
365,cash,4346.33,6/2/2023 9:43,refunded,64901
369,cash,589.68,8/26/2023 6:35,failed,94009
371,cash,893.96,4/11/2023 22:16,refunded,18964
373,cash,3136.89,11/12/2023 7:59,failed,60519
382,insurance,1113.36,2/5/2023 20:50,refunded,70178
385,insurance,656.24,5/3/2023 13:09,completed,21703
391,cash,4392.19,1/11/2023 7:17,completed,70947
395,online,3455.28,9/29/2023 11:20,completed,75800
402,online,3392.08,11/23/2023 14:22,completed,53408
404,cash,933.54,6/16/2023 7:38,refunded,91528
407,credit_card,758.94,2/4/2023 7:18,pending,65960
422,insurance,1834.89,4/24/2023 6:20,refunded,73473
452,cash,4458.88,3/17/2023 11:16,pending,47383
463,credit_card,122.52,8/15/2023 14:41,refunded,33175
481,credit_card,1717.48,12/26/2023 17:15,failed,16478
497,online,4482.22,7/5/2023 10:00,refunded,54828
529,insurance,2250.53,4/3/2023 17:12,refunded,72148
538,insurance,573.1,4/24/2023 4:43,failed,5771
547,insurance,484.65,1/5/2023 16:07,refunded,65627
571,cash,937.25,9/19/2023 11:56,refunded,24069
572,credit_card,3152.03,3/9/2023 17:18,failed,25674
583,debit_card,302.37,9/14/2023 12:34,refunded,26972
603,cash,3315.33,12/15/2023 8:11,pending,33610
609,debit_card,193.24,4/6/2023 1:02,pending,53363
610,credit_card,1630.33,4/29/2023 23:26,failed,40142
627,debit_card,1809.49,3/29/2023 23:23,pending,3745
632,insurance,4196.36,1/2/2023 5:20,refunded,68300
647,insurance,2904.99,12/7/2023 0:23,refunded,34037
648,insurance,328.75,6/23/2023 18:04,pending,45182
649,credit_card,4349.77,10/16/2023 22:44,pending,58645
667,insurance,1290.95,12/26/2023 4:56,refunded,49554
673,cash,2611.47,9/9/2023 19:48,completed,61660
674,online,3411.84,1/2/2023 5:58,refunded,83646
679,debit_card,157.83,12/18/2023 2:02,failed,20701
688,cash,2008.9,11/26/2023 17:34,completed,2490
692,debit_card,1870.51,9/6/2023 0:48,pending,35823
693,credit_card,3895.87,10/20/2023 18:58,completed,19048
739,credit_card,2309.56,5/1/2023 7:47,pending,93020
766,debit_card,3447.25,10/5/2023 0:33,completed,48305
769,credit_card,4256.4,1/30/2023 13:33,refunded,1435
770,insurance,3069.23,2/17/2023 15:49,refunded,84698
783,debit_card,2584.28,10/21/2023 6:41,failed,73880
802,credit_card,4473.25,10/4/2023 19:39,pending,70366
819,debit_card,2388,4/15/2023 10:08,failed,45205
824,debit_card,3072.46,6/15/2023 13:01,pending,40159
832,credit_card,3933.02,1/3/2023 15:06,refunded,11683
834,credit_card,4738.67,2/17/2023 5:22,failed,67543
845,cash,3837.91,10/21/2023 5:52,refunded,81744
854,insurance,631.57,4/27/2023 4:35,completed,66787
861,insurance,4372.77,3/31/2023 1:48,pending,71741
863,cash,3890.88,3/31/2023 7:04,refunded,62084
864,online,2420.3,7/2/2023 16:02,completed,18214
867,credit_card,145.58,5/30/2023 1:02,pending,35825
873,debit_card,4721.79,6/27/2023 18:21,refunded,3378
897,online,2590.44,1/20/2023 0:55,pending,68652
905,insurance,3915.24,2/26/2023 15:35,pending,86066
923,credit_card,1643.3,11/30/2023 5:00,failed,50859
